sample_id	population	superpopulation	tier	n_qualifying_variants	n_qualifying_genes	n_genes_with_shet	n_genes_missing_shet	n_high_pli_genes	sum_shet	max_shet	shet_burden	mean_cns_expression_percentile	max_cns_expression_percentile	empirical_percentile_within_1000G_EUR
NA12874	CEU	EUR	gardner_core_ptv_gnomad1e3_ac1	10	10	7	3	1	0.10920800000000001	0.042425	0.10502805991812081	78.08129000000001	98.1726	75.04761904761905
NA20754	TSI	EUR	gardner_core_ptv_gnomad1e3_ac1	10	10	7	3	0	0.082562	0.046918	0.08040165939350663	66.46079	96.4288	69.52380952380952
NA12760	CEU	EUR	gardner_core_ptv_gnomad1e3_ac1	9	9	8	1	1	0.152522	0.047338	0.14340439962229756	80.67976666666667	97.1583	79.80952380952381
NA20802	TSI	EUR	gardner_core_ptv_gnomad1e3_ac1	9	9	6	3	0	0.118975	0.087847	0.11591168592757461	85.31844444444444	97.3879	76.19047619047619
NA12414	CEU	EUR	gardner_core_ptv_gnomad1e3_ac1	9	9	9	0	0	0.09309599999999998	0.019552	0.08941895177797776	68.16946666666666	91.0995	72.95238095238095
NA12287	CEU	EUR	gardner_core_ptv_gnomad1e4_ac1	12	12	10	2	2	0.177946	0.061118	0.16574553755097732	81.00025833333335	93.8237	83.23809523809524
NA20763	TSI	EUR	gardner_core_ptv_gnomad1e4_ac1	10	10	7	3	1	0.563472	0.268742	0.4657783963625498	78.72987	96.943	99.23809523809524
NA20783	TSI	EUR	gardner_core_ptv_gnomad1e4_ac1	10	9	8	1	1	0.501962	0.387813	0.45483790076063346	76.47863333333333	96.0569	98.85714285714286
NA20772	TSI	EUR	gardner_core_ptv_gnomad1e4_ac1	10	10	8	2	3	0.20379	0.095038	0.18945288971811114	79.74002	97.6049	86.0952380952381
NA12874	CEU	EUR	gardner_core_ptv_gnomad1e4_ac1	9	9	7	2	1	0.10920800000000001	0.042425	0.10502805991812081	78.41856666666668	98.1726	75.80952380952381
NA20754	TSI	EUR	gardner_core_ptv_gnomad1e4_ac1	9	9	6	3	0	0.07728	0.046918	0.07551854836597571	68.31181111111111	96.4288	70.28571428571429
NA20509	TSI	EUR	gardner_core_ptv_gnomad1e4_ac1	8	8	7	1	1	0.512167	0.451913	0.48422422503457996	73.96237500000001	91.5959	99.61904761904762
NA20797	TSI	EUR	gardner_core_ptv_gnomad1e4_ac1	8	8	7	1	1	0.21522200000000002	0.13313	0.2024920481664545	76.1908625	93.3718	88.19047619047619
HG02219	IBS	EUR	gardner_core_ptv_gnomad1e4_ac1	8	8	6	2	2	0.19913000000000003	0.096694	0.18666355729561845	78.68911250000001	96.128	85.9047619047619
NA20542	TSI	EUR	gardner_core_ptv_gnomad1e4_ac1	8	8	7	1	1	0.132674	0.06072	0.12680498244883442	81.779275	95.6494	78.47619047619048
NA20797	TSI	EUR	gardner_core_ptv_gnomad1e5_ac1	8	8	7	1	1	0.21522200000000002	0.13313	0.2024920481664545	76.1908625	93.3718	91.04761904761905
NA20772	TSI	EUR	gardner_core_ptv_gnomad1e5_ac1	8	8	7	1	2	0.16458799999999998	0.095038	0.1563813514579664	77.8539125	96.007	87.23809523809524
NA12287	CEU	EUR	gardner_core_ptv_gnomad1e5_ac1	8	8	6	2	2	0.147375	0.061118	0.13973197828256922	83.45456250000001	93.8237	85.33333333333333
NA20783	TSI	EUR	gardner_core_ptv_gnomad1e5_ac1	7	6	5	1	1	0.46273	0.387813	0.4328038519753057	83.44574999999999	96.0569	99.04761904761905
HG01602	IBS	EUR	gardner_core_ptv_gnomad1e5_ac1	7	7	4	3	1	0.338993	0.319663	0.33273040018779054	75.42024285714285	95.1903	97.14285714285714
NA12874	CEU	EUR	gardner_core_ptv_gnomad1e5_ac1	7	7	5	2	1	0.098899	0.042425	0.09572821674267429	78.30668571428573	98.1726	82.0952380952381
NA20754	TSI	EUR	gardner_core_ptv_gnomad1e5_ac1	7	7	4	3	0	0.06247	0.046918	0.06166735455684225	64.47370000000001	96.4288	75.04761904761905
NA20509	TSI	EUR	gardner_core_ptv_gnomad1e5_ac1	6	6	5	1	1	0.480017	0.451913	0.4671693962195681	68.92588333333333	86.9535	99.61904761904762
NA12413	CEU	EUR	gardner_core_ptv_gnomad1e5_ac1	6	6	6	0	1	0.22866099999999998	0.103378	0.21246926634027707	79.66691666666667	96.6886	92.0
HG01695	IBS	EUR	gardner_core_ptv_gnomad1e5_ac1	6	6	6	0	0	0.223325	0.080564	0.20608287433692518	78.46876666666667	88.6599	91.61904761904762
NA20772	TSI	EUR	gardner_core_ptv_gnomad2e6_ac1	8	8	7	1	2	0.16458799999999998	0.095038	0.1563813514579664	77.8539125	96.007	89.14285714285714
NA20509	TSI	EUR	gardner_core_ptv_gnomad2e6_ac1	6	6	5	1	1	0.480017	0.451913	0.4671693962195681	68.92588333333333	86.9535	99.61904761904762
NA20783	TSI	EUR	gardner_core_ptv_gnomad2e6_ac1	6	5	5	0	1	0.46273	0.387813	0.4328038519753057	85.87948	96.0569	99.23809523809524
NA20797	TSI	EUR	gardner_core_ptv_gnomad2e6_ac1	6	6	6	0	1	0.20964900000000003	0.13313	0.19802262827382444	77.74873333333333	93.3718	91.80952380952381
NA12287	CEU	EUR	gardner_core_ptv_gnomad2e6_ac1	6	6	5	1	2	0.107654	0.061118	0.10414783441329989	83.12783333333334	91.7757	86.0952380952381
NA20792	TSI	EUR	gardner_core_ptv_gnomad2e6_ac1	6	6	6	0	0	0.061215	0.031202	0.05993760560318695	81.15328333333333	88.119	79.42857142857143
HG01602	IBS	EUR	gardner_core_ptv_gnomad2e6_ac1	5	5	3	2	1	0.33112199999999997	0.319663	0.32743665409214984	78.90852	95.1903	97.71428571428571
NA20503	TSI	EUR	gardner_core_ptv_gnomad2e6_ac1	5	5	3	2	2	0.317326	0.207621	0.29345214080102544	78.56721999999999	94.2223	96.76190476190476
NA20587	TSI	EUR	gardner_core_ptv_gnomad2e6_ac1	5	5	5	0	1	0.21829300000000001	0.132983	0.20498251013240676	82.3189	90.7703	92.57142857142857
NA20764	TSI	EUR	gardner_core_ptv_gnomad2e6_ac1	5	5	4	1	1	0.203828	0.189327	0.2010260411973559	82.89722	97.6156	92.38095238095238
NA12383	CEU	EUR	gardner_private_proxy_ptv_gnomad_absent_ac1	1	1	1	0	0	0.196186	0.196186	0.19618599999999997	84.2275	84.2275	100.0
NA20506	TSI	EUR	gardner_private_proxy_ptv_gnomad_absent_ac1	1	1	1	0	1	0.050376	0.050376	0.050375999999999976	94.1867	94.1867	99.80952380952381
HG00154	GBR	EUR	gardner_private_proxy_ptv_gnomad_absent_ac1	1	1	1	0	0	0.030556	0.030556	0.030556000000000028	96.6903	96.6903	99.61904761904762
HG00238	GBR	EUR	gardner_private_proxy_ptv_gnomad_absent_ac1	1	1	1	0	0	0.007594	0.007594	0.00759399999999999	62.9727	62.9727	99.42857142857143
HG01628	IBS	EUR	gardner_private_proxy_ptv_gnomad_absent_ac1	1	1	1	0	0	0.005018	0.005018	0.005017999999999967	58.1523	58.1523	99.23809523809524
